title,neighborhoods,price,num_bedrooms,num_bathrooms,url,lat,lon,city,time_posted,alerted,priority_alerted,source,bike_time_minutes,bike_station,bart_bike_time_minutes,bart_station
"Stainless Steel Appliances, Gated, Washer and Dryer",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-stainless-steel/7933485396.html,37.7752730157458,-122.415909631016,San Francisco,2026-05-10T18:40:05.199898-07:00,False,,craigslist,,,,
TMLP 12-mo. | Urban Living at Its Best: On-Site Fitness Center,,4374,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-12-mo-urban-living/7933485904.html,37.778401365307,-122.414338580742,San Francisco,2026-05-10T18:40:05.199105-07:00,False,,craigslist,,,,
"Pet Park, Washer and Dryer, Roof View Fire Pits, Grills, Gated",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-pet-park-washer-and-dryer/7933475151.html,37.7752730157458,-122.415909631016,San Francisco,2026-05-10T17:20:05.233370-07:00,False,,craigslist,,,,
TMLP 13-mo. | High-rise modern apartments with luxury amenities,,4427,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-13-mo-high-rise/7933476395.html,37.7791152707197,-122.41424289679,San Francisco,2026-05-10T17:20:05.232589-07:00,False,,craigslist,,,,
TMLP 12-mo. | SOMA two-bedroom apartment near Hayes Valley,,4298,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-12-mo-soma-two/7933469965.html,37.778401365307,-122.414338580742,San Francisco,2026-05-10T16:40:05.020815-07:00,False,,craigslist,,,,
"Stainless Steel Appliances, Now Showing, 360 View Rooftop Deck",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-stainless-steel/7933464385.html,37.7752730157458,-122.415909631016,San Francisco,2026-05-10T16:00:04.896777-07:00,False,,craigslist,,,,
"Unbeatable Location, Unparalleled Amenities, Tour Today!",,3593,2,2.0,https://sfbay.craigslist.org/pen/apa/d/san-francisco-unbeatable-location/7933459926.html,37.7072342775777,-122.415895880029,San Francisco,2026-05-10T15:20:04.801050-07:00,False,,craigslist,,,,
Convenience Meets Luxury: Garage Parking & Elevator,,4374,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-convenience-meets-luxury/7933451787.html,37.778401365307,-122.414338580742,San Francisco,2026-05-10T14:40:05.544032-07:00,False,,craigslist,,,,
"Landmark Living in the Arts District, Near Hayes Valley.",,4298,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-landmark-living-in-the/7933437964.html,37.778401365307,-122.414338580742,San Francisco,2026-05-10T13:20:05.148315-07:00,False,,craigslist,,,,
"Expansive Windows w/ City Views, Pets Welcome, Washer and Dryer",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-expansive-windows-city/7933438255.html,37.7752730157458,-122.415909631016,San Francisco,2026-05-10T13:20:05.147516-07:00,False,,craigslist,,,,
